"PVWatts Hourly PV Performance Data"
"Requested Location","yinchuan"
"Solar Resource Data Location","NSRDB Lat/Lng: 38.45, 106.26"
"Latitude (degrees)", 38.45
"Longitude (degrees)", 106.26
"Elevation (m)","1114"
"DC System Size (kW)","1"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","28","7","0","6","7.7","2.7","0.2","5.561","7.811","3.468","0"
"10","28","8","7","36","9.1","3.8","0.2","35.991","9.742","29.855","24.834"
"10","28","9","0","17","10.1","4.8","0.2","15.785","10.345","12.603","8.193"
"10","28","10","18","62","10.7","5.2","0.2","72.14","11.764","60.747","54.631"
"10","28","11","29","175","10.7","5","0.2","198.616","13.697","170.603","160.594"
"10","28","12","31","133","10.4","4.5","0.2","157.414","12.934","134.444","125.716"
"10","28","13","25","87","10.2","3.9","0.2","105.062","12.041","88.979","81.863"
"10","28","14","2","40","10.4","3.4","0.2","38.714","11.132","31.659","26.574"
"10","28","15","0","15","10.8","3.2","0.2","13.931","11.073","10.986","6.633"
"10","28","16","0","8","10.7","2.8","0.2","7.419","10.856","5.734","1.567"
"10","28","17","0","22","9.9","2.1","0.2","20.449","10.377","15.242","10.738"
"10","28","18","0","0","9.1","1.9","0.2","0","0","0","0"
"10","28","19","0","0","8.8","2.2","0.2","0","8.8","0","0"
"10","28","20","0","0","8.5","2.4","0.2","0","8.5","0","0"
"10","28","21","0","0","8.3","2.5","0.2","0","8.3","0","0"
"10","28","22","0","0","8","2.4","0.2","0","8","0","0"
"10","28","23","0","0","7.8","2.4","0.2","0","7.8","0","0"
"10","29","0","0","0","7.7","2.4","0.2","0","7.7","0","0"
"10","29","1","0","0","7.5","2.4","0.2","0","7.5","0","0"
"10","29","2","0","0","7.5","2.4","0.2","0","7.5","0","0"
"10","29","3","0","0","7.4","2.5","0.2","0","7.4","0","0"
"10","29","4","0","0","7.4","2.5","0.2","0","7.4","0","0"
"10","29","5","0","0","7.3","2.4","0.2","0","7.3","0","0"
"10","29","6","0","0","7.2","2.3","0.2","0","7.2","0","0"
"10","29","7","1","4","7.1","2.3","0.2","3.854","7.183","2.341","0"
"10","29","8","20","74","8.6","3.1","0.2","81.748","10.227","69.866","63.427"
